from,to,pulse,pulse_date
Amphibia,Outdoor,108.48,2024-04-13T05:38:26-0500
Amphibia,Amphibia,87.73,2024-04-14T13:17:11-0500
Amphibia,Driveway Planter,162.65,2024-04-15T01:49:55-0500
Amphibia,Hillcrest Front North,224.69,2024-04-15T03:48:43-0500
Amphibia,Animalia,61.27,2024-04-17T07:52:20-0500
Amphibia,Jain Lane Trailhead,225.83,2024-04-19T22:01:39-0500
Amphibia,Raised Bed North,74.26,2024-04-20T02:45:50-0500
Amphibia,Flowerbed,76.37,2024-04-21T12:31:10-0500
Amphibia,Plantae,70.2,2024-04-21T17:58:10-0500
Amphibia,Arachnida,139.84,2024-04-21T23:59:53-0500
