from,to,pulse,pulse_date
Arachnida,Back Yard,35.17,2024-04-14T04:35:32-0500
Arachnida,Jain Lane Trailhead,109.47,2024-04-15T16:30:55-0500
Arachnida,Back Yard,209.18,2024-04-15T20:16:21-0500
Arachnida,Amphibia,75.0,2024-04-15T21:36:10-0500
Arachnida,Driveway Planter,116.07,2024-04-16T00:16:21-0500
Arachnida,Jain Lane Trailhead,81.75,2024-04-18T18:51:53-0500
Arachnida,Lower Middle Yard,32.9,2024-04-19T13:22:20-0500
Arachnida,Driveway Planter,76.29,2024-04-20T01:57:53-0500
Arachnida,Jain Lane Trailhead,34.44,2024-04-20T07:17:41-0500
Arachnida,Behind the Raised Bed,186.01,2024-04-21T20:08:19-0500
