from,to,pulse,pulse_date
Aves,Hillcrest Front North,136.82,2024-04-13T07:10:43-0500
Aves,Amphibia,98.44,2024-04-13T16:23:36-0500
Aves,Mollusca,198.56,2024-04-15T06:59:09-0500
Aves,Fence Line North,154.66,2024-04-17T00:16:57-0500
Aves,Ty Davidson DDS Office,205.46,2024-04-18T03:45:25-0500
Aves,Amphibia,205.25,2024-04-18T16:16:06-0500
Aves,Fence Line South,103.54,2024-04-19T14:39:35-0500
Aves,Plantae,21.54,2024-04-19T17:50:55-0500
Aves,South Side,154.05,2024-04-20T14:55:04-0500
Aves,Raised Bed North,214.74,2024-04-21T08:55:59-0500
