id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
1434433,2015-04-18,2015-04-18,,Central Time (US & Canada),81576,nstamets,"",2015-04-28 19:20:27 UTC,2021-12-23 19:27:23 UTC,research,CC-BY-SA,http://www.inaturalist.org/observations/1434433,https://inaturalist-open-data.s3.amazonaws.com/photos/1775036/medium.jpg,,"","",2,0,false,,30.406886,-97.705219,Fall Webworm Moth,Hyphantria cunea,Fall Webworm Moth,Insecta,127133,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Arctiinae,,Arctiini,Spilosomina,Hyphantria,,Hyphantria cunea,,,,
1454168,2015-04-16,2015-04-16,,Central Time (US & Canada),81576,nstamets,"",2015-05-04 15:50:39 UTC,2019-03-01 19:51:22 UTC,research,CC-BY-SA,http://www.inaturalist.org/observations/1454168,https://inaturalist-open-data.s3.amazonaws.com/photos/1802493/medium.jpg,,"","",4,0,false,,30.236442,-97.788284,Green Anole,Anolis carolinensis,Green Anole,Reptilia,36514,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Anolidae,,,,,Anolis,,Anolis carolinensis,,,,
1915162,2015-08-22 19:48:20,2015-08-22,2015-08-23 00:48:20 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2015-09-03 17:58:40 UTC,2017-09-26 03:08:20 UTC,research,CC-BY-SA,http://www.inaturalist.org/observations/1915162,https://inaturalist-open-data.s3.amazonaws.com/photos/2339272/medium.JPG,,"","",2,0,false,,30.153542,-97.811662,Redear Sunfish,Lepomis microlophus,Redear Sunfish,Actinopterygii,85127,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Centrarchiformes,Centrarchoidei,,Centrarchidae,Lepominae,,,,Lepomis,,Lepomis microlophus,,,,
1915166,2015-08-22 19:48:20,2015-08-22,2015-08-23 00:48:20 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2015-09-03 17:59:56 UTC,2017-09-26 03:08:21 UTC,research,CC-BY-SA,http://www.inaturalist.org/observations/1915166,https://inaturalist-open-data.s3.amazonaws.com/photos/2339277/medium.JPG,,"","",2,0,false,,30.153542,-97.811662,Bluegill,Lepomis macrochirus,Bluegill,Actinopterygii,49591,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Centrarchiformes,Centrarchoidei,,Centrarchidae,Lepominae,,,,Lepomis,,Lepomis macrochirus,,,,
1915170,2015-08-22 19:48:20,2015-08-22,2015-08-23 00:48:20 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2015-09-03 18:00:20 UTC,2020-11-04 20:33:42 UTC,research,CC-BY-SA,http://www.inaturalist.org/observations/1915170,https://inaturalist-open-data.s3.amazonaws.com/photos/2339282/medium.JPG,,"","",3,0,false,,30.153542,-97.811662,Redspotted sunfish,Lepomis miniatus,Redspotted Sunfish,Actinopterygii,104255,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Centrarchiformes,Centrarchoidei,,Centrarchidae,Lepominae,,,,Lepomis,,Lepomis miniatus,,,,
1915176,2015-08-22 19:48:20,2015-08-22,2015-08-23 00:48:20 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2015-09-03 18:01:53 UTC,2020-12-04 19:31:37 UTC,research,CC-BY-SA,http://www.inaturalist.org/observations/1915176,https://inaturalist-open-data.s3.amazonaws.com/photos/2339289/medium.JPG,,"","",3,0,false,,30.153542,-97.811662,Warmouth sunfish,Lepomis gulosus,Warmouth,Actinopterygii,104252,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Centrarchiformes,Centrarchoidei,,Centrarchidae,Lepominae,,,,Lepomis,,Lepomis gulosus,,,,
1915180,2015-08-22 19:48:20,2015-08-22,2015-08-23 00:48:20 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2015-09-03 18:03:39 UTC,2017-09-26 03:08:21 UTC,research,CC-BY-SA,http://www.inaturalist.org/observations/1915180,https://inaturalist-open-data.s3.amazonaws.com/photos/2339298/medium.JPG,,"","",1,0,false,,30.153542,-97.811662,Weed Shiner,Notropis texanus,Weed Shiner,Actinopterygii,107268,Animalia,Chordata,Vertebrata,,Actinopterygii,,Ostariophysi,Cypriniformes,Cyprinoidei,,Leuciscidae,Pogonichthyinae,,,,Notropis,,Notropis texanus,,,,
1915246,2015-08-22 19:48:20,2015-08-22,2015-08-23 00:48:20 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2015-09-03 18:06:53 UTC,2017-09-26 03:08:26 UTC,research,CC-BY-SA,http://www.inaturalist.org/observations/1915246,https://inaturalist-open-data.s3.amazonaws.com/photos/2339364/medium.JPG,,"","",2,0,false,,30.153542,-97.811662,Western Mosquitofish,Gambusia affinis,Western Mosquitofish,Actinopterygii,59115,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Cyprinodontiformes,Cyprinodontoidei,,Poeciliidae,Poeciliinae,,,,Gambusia,,Gambusia affinis,,,,
1915255,2015-08-22 19:48:20,2015-08-22,2015-08-23 00:48:20 UTC,Central Time (US & Canada),10601,fishesoftexas,Fishes of Texas team,2015-09-03 18:07:21 UTC,2017-09-26 03:08:28 UTC,research,CC-BY-SA,http://www.inaturalist.org/observations/1915255,https://inaturalist-open-data.s3.amazonaws.com/photos/2339373/medium.JPG,,"","",3,0,false,,30.153542,-97.811662,Green Sunfish,Lepomis cyanellus,Green Sunfish,Actinopterygii,58636,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Centrarchiformes,Centrarchoidei,,Centrarchidae,Lepominae,,,,Lepomis,,Lepomis cyanellus,,,,
2384818,Tue May 21 2013 18:58:44 GMT-0400 (EDT),2013-05-21,2013-05-21 22:58:44 UTC,Eastern Time (US & Canada),138422,jacobogre,Jacob Malcom,2015-11-16 02:15:54 UTC,2017-09-26 04:43:35 UTC,research,CC-BY-SA,http://www.inaturalist.org/observations/2384818,https://inaturalist-open-data.s3.amazonaws.com/photos/2658748/medium.jpg,,,,2,0,false,3,30.281764,-97.676321,Indian Blanket,Gaillardia pulchella,Indian blanket,Plantae,51768,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Helenieae,Gaillardiinae,Gaillardia,,Gaillardia pulchella,,,,
