from,to,pulse_type,pulse,pulse_date,vitals
Mollusca,Aves,Predation,217.46,2024-04-12T07:24:30-0500,-217.46
Mollusca,Back of House South,Habitat Utilization,67.65,2024-04-13T04:07:29-0500,-285.11
Mollusca,Hillcrest Front North,Habitat Utilization,21.83,2024-04-14T02:40:04-0500,-98.58
Mollusca,Flowerbed,Habitat Utilization,110.44,2024-04-15T04:58:59-0500,-209.02
Mollusca,Arachnida,Ecological Interaction,92.22,2024-04-16T13:46:54-0500,-102.68
Mollusca,Back of House South,Habitat Utilization,215.08,2024-04-16T16:01:11-0500,-317.76
Mollusca,Fence Line South,Habitat Utilization,80.41,2024-04-18T03:26:23-0500,-398.17
Mollusca,Fungi,Ecological Interaction,57.39,2024-04-18T10:01:44-0500,-455.56
Mollusca,Outdoor,Habitat Utilization,217.73,2024-04-18T12:07:57-0500,-673.29
Mollusca,Mollusca,Intraspecific Interaction,74.37,2024-04-20T09:24:03-0500,-622.57
