from,to,pulse,pulse_date
Plantae,Mollusca,178.33,2024-04-12T04:24:04-0500
Plantae,Reptilia,36.43,2024-04-12T21:29:38-0500
Plantae,Back Yard,195.31,2024-04-12T21:33:02-0500
Plantae,Fungi,97.35,2024-04-13T15:28:56-0500
Plantae,Lower Middle Yard,102.1,2024-04-13T16:39:16-0500
Plantae,Hillcrest Front North,106.3,2024-04-15T13:52:45-0500
Plantae,Reptilia,144.83,2024-04-15T23:17:17-0500
Plantae,Hillcrest House,222.72,2024-04-16T23:27:00-0500
Plantae,Aves,68.23,2024-04-17T17:17:02-0500
Plantae,Driveway Planter,59.11,2024-04-19T23:52:33-0500
