from,to,pulse,pulse_date
Reptilia,Reptilia,196.63,2024-04-16T12:14:24-0500
Reptilia,Lower Middle Yard,86.85,2024-04-18T15:27:18-0500
Reptilia,Fence Line North,187.92,2024-04-18T15:57:44-0500
Reptilia,Fungi,211.49,2024-04-18T20:57:26-0500
Reptilia,Mollusca,125.09,2024-04-19T11:29:58-0500
Reptilia,Back of House South,82.37,2024-04-19T22:43:09-0500
Reptilia,Reptilia,193.45,2024-04-20T02:13:27-0500
Reptilia,Arachnida,105.55,2024-04-20T09:14:08-0500
Reptilia,Jain Lane Trailhead,216.82,2024-04-20T09:23:01-0500
Reptilia,Outdoor,55.89,2024-04-20T13:40:50-0500
