species_name
"Abelia × grandiflora"
"Acanthocephala declivis"
Agaricaceae
"Alypia octomaculata"
"Ambrosia trifida"
"Aplysina archeri"
"Argiope aurantia"
"Aspidoscelis gularis"
"Asterocampa clyton"
"Automeris io"
Begonia
"Bombus pensylvanicus"
Brachypnoea
"Caesalpinia pulcherrima"
"Callicarpa americana"
Calosphace
"Calyptocarpus vialis"
"Carya illinoinensis"
"Cenchrus setaceus"
Chlorophytum
"Chortophaga viridifasciata"
"Cotinis nitida"
"Curio repens"
"Desarmillaria caespitosa"
"Dione vanillae"
"Efferia aestuans"
"Epipremnum aureum"
"Eriobotrya japonica"
"Erythemis simplicicollis"
"Erythrina americana"
"Euschistus servus"
"Galium aparine"
"Harmonia axyridis"
Heraclides
Heteroptera
"Ilex vomitoria"
"Incilius nebulifer"
"Ipomoea cordatotriloba"
"Iris × germanica"
"Jacaranda mimosifolia"
"Kalanchoe blossfeldiana"
"Lamium amplexicaule"
"Leptoglossus zonatus"
"Leucocoprinus cepistipes"
"Liriope muscari"
"Lonicera sempervirens"
"Lysurus sphaerocephalus"
"Malva trimestris"
"Neoscona crucifera"
"Nepeta cataria"
"Otala lactea"
"Petrosedum rupestre"
"Plethodon albagula"
"Rhododendron indicum"
Rosmarinus
"Ruellia simplex"
"Salvia farinacea"
"Sceloporus olivaceus"
"Scincella lateralis"
"Sphecius speciosus"
"Spinus psaltria"
"Stagmomantis limbata"
"Tecoma stans"
"Torilis arvensis"
"Tradescantia pallida"
"Vanessa atalanta"
"Vitis mustangensis"
"Yucca treculiana"
